huntCode,species,sex,huntType,huntClass,area,unitCode,unitNames,weapon,conditions,permitCount,organizations,averageValue,sourceSpecies,sourceRowStart,sourceRowNumbers,matchedPermitRegister,matchedRegisterLabel,matchedCanonicalHunts,boundaryIds,sourceHuntCodes
CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,UAA,"Wasatch Mtns, West-Central",wasatch-mtns-west-central,"Wasatch Mtns, West-Central",Multiseason,Multiseason,1,UAA,4716.67,Bear,59,59,false,,true,448 | 845,BR1006 | BR7016 | BR7120 | BR7221 | BR7316
CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,"Wasatch Mtns, West-Central",wasatch-mtns-west-central,"Wasatch Mtns, West-Central",Multiseason,Multiseason,2,SFW,4716.67,Bear,60,60 | 62,false,,true,448 | 845,BR1006 | BR7016 | BR7120 | BR7221 | BR7316
CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,"Wasatch Mtns, West-Central",wasatch-mtns-west-central,"Wasatch Mtns, West-Central",Multiseason,Multiseason,1,MDF,4716.67,Bear,61,61,false,,true,448 | 845,BR1006 | BR7016 | BR7120 | BR7221 | BR7316
CP-BLACK-BEAR-YELLOWSTONE-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,WCF,Yellowstone,yellowstone,Yellowstone,Multiseason,Multiseason,1,WCF,3500,Bear,63,63,false,,true,613,BR1004 | BR7118 | BR7219 | BR7314
CP-DEER-BOOK-CLIFFS-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,SFW,Book Cliffs,book-cliffs,"Book Cliffs | Book Cliffs (North & South) | Book Cliffs, North | Book Cliffs, South",Any Legal Weapon,Hunter's Choice,1,SFW,20875,Deer,90,90,true,Book Cliffs Conservation Permit,false,15 | 7 | 714,DB1056 | DB1075 | DB1076
CP-DEER-BOOK-CLIFFS-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,MDF,Book Cliffs,book-cliffs,"Book Cliffs | Book Cliffs (North & South) | Book Cliffs, North | Book Cliffs, South",Any Legal Weapon,Hunter's Choice,1,MDF,20875,Deer,91,91,true,Book Cliffs Conservation Permit,false,15 | 7 | 714,DB1056 | DB1075 | DB1076
CP-DEER-BOOK-CLIFFS-BUCK-ARCHERY,Deer,Buck,Conservation,WCF,Book Cliffs,book-cliffs,"Book Cliffs | Book Cliffs (North & South) | Book Cliffs, North | Book Cliffs, South",Archery,Archery,1,WCF,8750,Deer,88,88,true,Book Cliffs Conservation Permit,false,15 | 7 | 714,DB1056 | DB1075 | DB1076
CP-DEER-BOOK-CLIFFS-BUCK-ARCHERY,Deer,Buck,Conservation,UAA,Book Cliffs,book-cliffs,"Book Cliffs | Book Cliffs (North & South) | Book Cliffs, North | Book Cliffs, South",Archery,Archery,1,UAA,8750,Deer,89,89,true,Book Cliffs Conservation Permit,false,15 | 7 | 714,DB1056 | DB1075 | DB1076
CP-DEER-BOOK-CLIFFS-BUCK-MULTISEASON,Deer,Buck,Conservation,SFW,Book Cliffs,book-cliffs,"Book Cliffs | Book Cliffs (North & South) | Book Cliffs, North | Book Cliffs, South",Multiseason,Multiseason,1,SFW,23000,Deer,92,92,true,Book Cliffs Conservation Permit,false,15 | 7 | 714,DB1056 | DB1075 | DB1076
CP-DEER-BOOK-CLIFFS-BUCK-MULTISEASON,Deer,Buck,Conservation,MDF,Book Cliffs,book-cliffs,"Book Cliffs | Book Cliffs (North & South) | Book Cliffs, North | Book Cliffs, South",Multiseason,Multiseason,1,MDF,23000,Deer,93,93,true,Book Cliffs Conservation Permit,false,15 | 7 | 714,DB1056 | DB1075 | DB1076
