hunt_code,land_type,residency,point_level,applicants,permits_awarded,success_ratio_text
DA1011,cwmu,Resident,14,0,0,N/A
DA1011,cwmu,Resident,13,0,0,N/A
DA1011,cwmu,Resident,12,0,0,N/A
DA1011,cwmu,Resident,11,0,0,N/A
DA1011,cwmu,Resident,10,0,0,N/A
DA1011,cwmu,Resident,9,1,1,1 in 1.0
DA1011,cwmu,Resident,8,0,0,N/A
DA1011,cwmu,Resident,7,7,3,1 in 2.3
DA1011,cwmu,Resident,6,8,0,N/A
DA1011,cwmu,Resident,5,10,0,N/A
DA1011,cwmu,Resident,4,11,0,N/A
DA1011,cwmu,Resident,3,18,0,N/A
DA1011,cwmu,Resident,2,15,0,N/A
DA1011,cwmu,Resident,1,20,0,N/A
DA1011,cwmu,Resident,0,26,0,N/A
DA1012,cwmu,Nonresident,19,0,0,N/A
DA1012,cwmu,Nonresident,18,0,0,N/A
DA1012,cwmu,Nonresident,17,0,0,N/A
DA1012,cwmu,Nonresident,16,0,0,N/A
DA1012,cwmu,Nonresident,15,0,0,N/A
DA1012,cwmu,Nonresident,14,0,0,N/A
DA1012,cwmu,Nonresident,13,0,0,N/A
DA1012,cwmu,Nonresident,12,0,0,N/A
DA1012,cwmu,Nonresident,11,0,0,N/A
DA1012,cwmu,Nonresident,10,0,0,N/A
DA1012,cwmu,Nonresident,9,0,0,N/A
DA1012,cwmu,Nonresident,8,0,0,N/A
DA1012,cwmu,Nonresident,7,0,0,N/A
DA1012,cwmu,Nonresident,6,0,0,N/A
DA1012,cwmu,Nonresident,5,0,0,N/A
DA1012,cwmu,Nonresident,4,0,0,N/A
DA1012,cwmu,Nonresident,3,0,0,N/A
DA1012,cwmu,Nonresident,2,0,0,N/A
DA1012,cwmu,Nonresident,1,0,0,N/A
DA1012,cwmu,Nonresident,0,0,0,N/A
DA1012,cwmu,Resident,19,0,0,N/A
DA1012,cwmu,Resident,18,0,0,N/A
DA1012,cwmu,Resident,17,0,0,N/A
DA1012,cwmu,Resident,16,0,0,N/A
DA1012,cwmu,Resident,15,0,0,N/A
DA1012,cwmu,Resident,14,0,0,N/A
DA1012,cwmu,Resident,13,1,1,1 in 1.0
DA1012,cwmu,Resident,12,0,0,N/A
DA1012,cwmu,Resident,11,0,0,N/A
DA1012,cwmu,Resident,10,7,7,1 in 1.0
DA1012,cwmu,Resident,9,8,4,1 in 2.0
DA1012,cwmu,Resident,8,14,0,N/A
DA1012,cwmu,Resident,7,39,0,N/A
DA1012,cwmu,Resident,6,56,0,N/A
DA1012,cwmu,Resident,5,56,0,N/A
DA1012,cwmu,Resident,4,74,0,N/A
DA1012,cwmu,Resident,3,85,0,N/A
DA1012,cwmu,Resident,2,76,0,N/A
DA1012,cwmu,Resident,1,57,0,N/A
DA1012,cwmu,Resident,0,83,0,N/A
DA1013,cwmu,Nonresident,19,0,0,N/A
DA1013,cwmu,Nonresident,18,0,0,N/A
DA1013,cwmu,Nonresident,17,0,0,N/A
DA1013,cwmu,Nonresident,16,0,0,N/A
DA1013,cwmu,Nonresident,15,0,0,N/A
DA1013,cwmu,Nonresident,14,0,0,N/A
DA1013,cwmu,Nonresident,13,0,0,N/A
DA1013,cwmu,Nonresident,12,0,0,N/A
DA1013,cwmu,Nonresident,11,0,0,N/A
DA1013,cwmu,Nonresident,10,0,0,N/A
DA1013,cwmu,Nonresident,9,0,0,N/A
DA1013,cwmu,Nonresident,8,0,0,N/A
DA1013,cwmu,Nonresident,7,0,0,N/A
DA1013,cwmu,Nonresident,6,0,0,N/A
DA1013,cwmu,Nonresident,5,0,0,N/A
DA1013,cwmu,Nonresident,4,0,0,N/A
DA1013,cwmu,Nonresident,3,0,0,N/A
DA1013,cwmu,Nonresident,2,0,0,N/A
DA1013,cwmu,Nonresident,1,0,0,N/A
DA1013,cwmu,Nonresident,0,0,0,N/A
DA1013,cwmu,Resident,19,0,0,N/A
DA1013,cwmu,Resident,18,0,0,N/A
DA1013,cwmu,Resident,17,0,0,N/A
DA1013,cwmu,Resident,16,0,0,N/A
DA1013,cwmu,Resident,15,0,0,N/A
DA1013,cwmu,Resident,14,0,0,N/A
DA1013,cwmu,Resident,13,0,0,N/A
DA1013,cwmu,Resident,12,0,0,N/A
DA1013,cwmu,Resident,11,0,0,N/A
DA1013,cwmu,Resident,10,0,0,N/A
DA1013,cwmu,Resident,9,0,0,N/A
DA1013,cwmu,Resident,8,8,4,1 in 2.0
DA1013,cwmu,Resident,7,18,0,N/A
DA1013,cwmu,Resident,6,6,0,N/A
DA1013,cwmu,Resident,5,16,0,N/A
DA1013,cwmu,Resident,4,16,0,N/A
DA1013,cwmu,Resident,3,24,0,N/A
DA1013,cwmu,Resident,2,22,0,N/A
DA1013,cwmu,Resident,1,18,0,N/A
DA1013,cwmu,Resident,0,39,0,N/A
DA1018,public,Nonresident,19,0,0,N/A
DA1018,public,Nonresident,18,0,0,N/A
DA1018,public,Nonresident,17,0,0,N/A
DA1018,public,Nonresident,16,0,0,N/A
DA1018,public,Nonresident,15,0,0,N/A
DA1018,public,Nonresident,14,0,0,N/A
DA1018,public,Nonresident,13,0,0,N/A
DA1018,public,Nonresident,12,0,0,N/A
DA1018,public,Nonresident,11,0,0,N/A
DA1018,public,Nonresident,10,0,0,N/A
DA1018,public,Nonresident,9,0,0,N/A
DA1018,public,Nonresident,8,0,0,N/A
DA1018,public,Nonresident,7,0,0,N/A
DA1018,public,Nonresident,6,1,1,1 in 1.0
DA1018,public,Nonresident,5,0,0,N/A
DA1018,public,Nonresident,4,0,0,N/A
DA1018,public,Nonresident,3,2,0,N/A
DA1018,public,Nonresident,2,3,0,N/A
DA1018,public,Nonresident,1,5,0,N/A
DA1018,public,Nonresident,0,2,0,N/A
DA1018,public,Resident,19,0,0,N/A
DA1018,public,Resident,18,0,0,N/A
DA1018,public,Resident,17,0,0,N/A
DA1018,public,Resident,16,0,0,N/A
DA1018,public,Resident,15,0,0,N/A
DA1018,public,Resident,14,0,0,N/A
DA1018,public,Resident,13,0,0,N/A
DA1018,public,Resident,12,0,0,N/A
DA1018,public,Resident,11,0,0,N/A
DA1018,public,Resident,10,0,0,N/A
DA1018,public,Resident,9,0,0,N/A
DA1018,public,Resident,8,1,1,1 in 1.0
DA1018,public,Resident,7,0,0,N/A
DA1018,public,Resident,6,4,4,1 in 1.0
DA1018,public,Resident,5,19,10,1 in 1.9
DA1018,public,Resident,4,29,0,N/A
DA1018,public,Resident,3,32,0,N/A
DA1018,public,Resident,2,28,0,N/A
DA1018,public,Resident,1,41,0,N/A
DA1018,public,Resident,0,40,0,N/A
DA1027,public,Nonresident,19,0,0,N/A
DA1027,public,Nonresident,18,0,0,N/A
DA1027,public,Nonresident,17,0,0,N/A
DA1027,public,Nonresident,16,0,0,N/A
DA1027,public,Nonresident,15,0,0,N/A
DA1027,public,Nonresident,14,0,0,N/A
DA1027,public,Nonresident,13,0,0,N/A
DA1027,public,Nonresident,12,0,0,N/A
DA1027,public,Nonresident,11,0,0,N/A
DA1027,public,Nonresident,10,0,0,N/A
DA1027,public,Nonresident,9,0,0,N/A
DA1027,public,Nonresident,8,0,0,N/A
DA1027,public,Nonresident,7,0,0,N/A
DA1027,public,Nonresident,6,2,0,N/A
DA1027,public,Nonresident,5,1,0,N/A
DA1027,public,Nonresident,4,1,0,N/A
DA1027,public,Nonresident,3,2,0,N/A
DA1027,public,Nonresident,2,2,0,N/A
DA1027,public,Nonresident,1,3,0,N/A
DA1027,public,Nonresident,0,9,0,N/A
DA1027,public,Resident,19,0,0,N/A
DA1027,public,Resident,18,0,0,N/A
DA1027,public,Resident,17,0,0,N/A
DA1027,public,Resident,16,0,0,N/A
DA1027,public,Resident,15,0,0,N/A
DA1027,public,Resident,14,0,0,N/A
DA1027,public,Resident,13,0,0,N/A
DA1027,public,Resident,12,0,0,N/A
DA1027,public,Resident,11,0,0,N/A
DA1027,public,Resident,10,0,0,N/A
DA1027,public,Resident,9,0,0,N/A
DA1027,public,Resident,8,3,3,1 in 1.0
DA1027,public,Resident,7,22,21,1 in 1.0
DA1027,public,Resident,6,128,0,N/A
DA1027,public,Resident,5,172,0,N/A
DA1027,public,Resident,4,249,0,N/A
DA1027,public,Resident,3,275,0,N/A
DA1027,public,Resident,2,335,0,N/A
DA1027,public,Resident,1,397,0,N/A
DA1027,public,Resident,0,618,0,N/A
DA1030,public,Nonresident,19,0,0,N/A
DA1030,public,Nonresident,18,0,0,N/A
DA1030,public,Nonresident,17,0,0,N/A
DA1030,public,Nonresident,16,0,0,N/A
DA1030,public,Nonresident,15,0,0,N/A
DA1030,public,Nonresident,14,0,0,N/A
DA1030,public,Nonresident,13,0,0,N/A
DA1030,public,Nonresident,12,0,0,N/A
DA1030,public,Nonresident,11,0,0,N/A
DA1030,public,Nonresident,10,0,0,N/A
DA1030,public,Nonresident,9,0,0,N/A
DA1030,public,Nonresident,8,0,0,N/A
DA1030,public,Nonresident,7,0,0,N/A
DA1030,public,Nonresident,6,0,0,N/A
DA1030,public,Nonresident,5,0,0,N/A
DA1030,public,Nonresident,4,0,0,N/A
DA1030,public,Nonresident,3,1,1,1 in 1.0
DA1030,public,Nonresident,2,1,0,N/A
DA1030,public,Nonresident,1,1,0,N/A
DA1030,public,Nonresident,0,1,0,N/A
DA1030,public,Resident,19,0,0,N/A
DA1030,public,Resident,18,0,0,N/A
DA1030,public,Resident,17,0,0,N/A
DA1030,public,Resident,16,0,0,N/A
DA1030,public,Resident,15,0,0,N/A
DA1030,public,Resident,14,0,0,N/A
