recommendation_year,hunt_code,species,permit_category,section_title,hunt_name,weapon,sex_type,access_class,permit_split_type,resident_permits_prior_raw,nonresident_permits_prior_raw,total_permits_prior_raw,resident_permits_raw,nonresident_permits_raw,total_permits_raw,resident_permits_prior,nonresident_permits_prior,total_permits_prior,resident_permits,nonresident_permits,total_permits,source_type,source_authority_level,source_file,source_page_number
2026,DB1005,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Muzzleloader,Muzzleloader,,Public,resident_nonresident,8,1,9,8,1,9,8,1,9,8,1,9,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1006,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Muzzleloader,Muzzleloader,,Public,resident_nonresident,26,3,29,26,3,29,26,3,29,26,3,29,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1007,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Multiseason,Multiseason,,Public,resident_nonresident,1,0,1,1,0,1,1,0,1,1,0,1,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1008,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Multiseason,Multiseason,,Public,resident_nonresident,3,1,4,3,1,4,3,1,4,3,1,4,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1009,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Any Legal Weapon,Any Legal Weapon,,Public,resident_nonresident,10,1,11,10,1,11,10,1,11,10,1,11,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1010,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Any Legal Weapon,Any Legal Weapon,,Public,resident_nonresident,24,3,27,30,3,33,24,3,27,30,3,33,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1011,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Book Cliffs,Archery,,Public,resident_nonresident,45,5,50,55,6,61,45,5,50,55,6,61,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1012,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"Fillmore, Oak Creek LE",Archery,,Public,resident_nonresident,11,1,12,12,1,13,11,1,12,12,1,13,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1013,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Dolores Triangle,Archery,,Public,resident_nonresident,4,0,4,5,0,5,4,0,4,5,0,5,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1014,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"San Juan, Elk Ridge",Archery,,Public,resident_nonresident,14,2,16,15,2,17,14,2,16,15,2,17,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
