hunt_code,join_key,source_family_presence,has_harvest,has_bonus_draw,has_antlerless_draw,harvest_model_family,bonus_draw_model_family,antlerless_draw_model_family,species,hunt_name,hunt_type,weapon,sex_type,access_type,permits_total,hunters,harvest,percent_success,avg_days,satisfaction,bonus_draw_hunt_code,bonus_draw_resident_rows,bonus_draw_row_count,bonus_draw_resident_min_point,bonus_draw_resident_max_point,bonus_draw_resident_total_applicants,bonus_draw_resident_bonus_permits,bonus_draw_resident_random_permits,bonus_draw_resident_total_permits,bonus_draw_resident_highest_point_with_permit,bonus_draw_resident_lowest_point_with_permit,bonus_draw_nonresident_rows,bonus_draw_nonresident_min_point,bonus_draw_nonresident_max_point,bonus_draw_nonresident_total_applicants,bonus_draw_nonresident_bonus_permits,bonus_draw_nonresident_random_permits,bonus_draw_nonresident_total_permits,bonus_draw_nonresident_highest_point_with_permit,bonus_draw_nonresident_lowest_point_with_permit,antlerless_draw_land_type,antlerless_draw_resident_rows,antlerless_draw_hunt_code,antlerless_draw_row_count,antlerless_resident_min_point,antlerless_resident_max_point,antlerless_draw_resident_total_applicants,antlerless_draw_resident_permits_awarded,antlerless_draw_resident_highest_point_with_permit,antlerless_draw_resident_lowest_point_with_permit,antlerless_draw_nonresident_rows,antlerless_nonresident_min_point,antlerless_nonresident_max_point,antlerless_draw_nonresident_total_applicants,antlerless_draw_nonresident_permits_awarded,antlerless_draw_nonresident_highest_point_with_permit,antlerless_draw_nonresident_lowest_point_with_permit
DB1265,DB1265,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Mountain Top,CWMU,Any Legal Weapon,Male Only,CWMU,11,10,5,50.0,3.9,4.1,DB1265,33,66,0,32,12,1,1,2,8,6,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1266,DB1266,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Mt Carmel,CWMU,Any Legal Weapon,Male Only,CWMU,21,21,14,66.7,4.6,3.6,DB1266,33,66,0,32,22,2,1,3,13,11,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1269,DB1269,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,North Promontory,CWMU,Any Legal Weapon,Male Only,CWMU,6,6,6,100.0,2.5,4.7,DB1269,33,66,0,32,31,0,1,1,15,15,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1270,DB1270,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Nucor West,CWMU,Any Legal Weapon,Male Only,CWMU,11,11,11,100.0,2.8,4.8,DB1270,33,66,0,32,18,0,1,1,1,1,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1271,DB1271,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Oak Ranch,CWMU,Any Legal Weapon,Male Only,CWMU,4,4,3,75.0,4.8,5.0,DB1271,33,66,0,32,2,1,1,2,1,0,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1272,DB1272,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Old Woman Plateau,CWMU,Any Legal Weapon,Male Only,CWMU,12,12,8,66.7,4.9,3.5,DB1272,33,66,0,32,8,2,1,3,10,4,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1273,DB1273,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Park Valley Hereford,CWMU,Any Legal Weapon,Male Only,CWMU,24,23,17,73.9,3.2,3.8,DB1273,33,66,0,32,20,3,3,6,11,0,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1274,DB1274,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Patmos Ridge,CWMU,Any Legal Weapon,Male Only,CWMU,7,7,6,85.7,5.0,4.9,DB1274,33,66,0,32,10,0,1,1,12,12,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1275,DB1275,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Pine Canyon,CWMU,Any Legal Weapon,Male Only,CWMU,20,20,13,65.0,4.2,4.2,DB1275,33,66,0,32,9,1,1,2,20,4,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1277,DB1277,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Pocatello Valley,CWMU,Any Legal Weapon,Male Only,CWMU,6,6,6,100.0,3.0,4.8,DB1277,33,66,0,32,25,0,1,1,9,9,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1279,DB1279,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Preston Nutter Ranch,CWMU,Any Legal Weapon,Male Only,CWMU,2,2,2,100.0,3.0,5.0,DB1279,33,66,0,32,53,0,1,1,0,0,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1280,DB1280,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Promontory Point,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,9,90.0,2.3,5.0,DB1280,33,66,0,32,34,0,1,1,7,7,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1281,DB1281,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Rattlesnake Pass,CWMU,Any Legal Weapon,Male Only,CWMU,15,15,15,100.0,4.5,4.4,DB1281,33,66,0,32,40,1,1,2,21,9,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1282,DB1282,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Redd Ranches,CWMU,Any Legal Weapon,Male Only,CWMU,16,15,14,93.3,3.6,4.4,DB1282,33,66,0,32,21,1,1,2,15,7,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1283,DB1283,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Roan Cliffs,CWMU,Any Legal Weapon,Male Only,CWMU,12,11,8,72.7,4.0,4.4,DB1283,33,66,0,32,13,0,1,1,5,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1285,DB1285,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Sand Creek,CWMU,Any Legal Weapon,Male Only,CWMU,7,6,3,50.0,4.0,4.3,DB1285,33,66,0,32,10,0,1,1,14,14,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1286,DB1286,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Pisgah Mountain,CWMU,Any Legal Weapon,Male Only,CWMU,12,12,9,75.0,5.0,4.5,DB1286,33,66,0,32,15,1,1,2,9,0,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1287,DB1287,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Scofield Canyons,CWMU,Any Legal Weapon,Male Only,CWMU,10,9,9,100.0,2.8,5.0,DB1287,33,66,0,32,17,0,1,1,7,7,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1288,DB1288,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Scofield West,CWMU,Any Legal Weapon,Male Only,CWMU,15,15,15,100.0,3.2,4.4,DB1288,33,66,0,32,42,1,1,2,16,0,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1289,DB1289,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Sharp Mountain,CWMU,Any Legal Weapon,Male Only,CWMU,16,16,14,87.5,3.6,5.0,DB1289,33,66,0,32,44,1,1,2,18,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1290,DB1290,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Skull Crack,CWMU,Any Legal Weapon,Male Only,CWMU,8,8,8,100.0,2.8,5.0,DB1290,33,66,0,32,56,0,1,1,1,1,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1291,DB1291,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Skull Valley South,CWMU,Any Legal Weapon,Male Only,CWMU,4,4,2,50.0,3.5,4.0,DB1291,33,66,0,32,15,0,1,1,1,1,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1292,DB1292,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Soldier Summit,CWMU,Any Legal Weapon,Male Only,CWMU,11,11,11,100.0,3.6,5.0,DB1292,33,66,0,32,30,1,1,2,13,7,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1293,DB1293,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,South Canyon,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,10,100.0,2.8,5.0,DB1293,33,66,0,32,9,0,1,1,5,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1294,DB1294,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Spring Creek Acres,CWMU,Any Legal Weapon,Male Only,CWMU,4,4,3,75.0,2.3,5.0,DB1294,33,66,0,32,12,0,1,1,6,6,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1295,DB1295,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Spring Creek/Dodge,CWMU,Any Legal Weapon,Male Only,CWMU,56,56,50,89.3,3.3,4.5,DB1295,33,66,0,32,69,3,3,6,15,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1298,DB1298,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Strawberry Ridge,CWMU,Any Legal Weapon,Male Only,CWMU,8,5,4,80.0,4.3,5.0,DB1298,33,66,0,32,14,0,1,1,5,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1299,DB1299,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Summit Point,CWMU,Any Legal Weapon,Male Only,CWMU,25,23,22,95.7,4.7,3.9,DB1299,33,66,0,32,15,2,1,3,8,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1300,DB1300,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Thatcher Mountain,CWMU,Any Legal Weapon,Male Only,CWMU,4,4,2,50.0,3.5,5.0,DB1300,33,66,0,32,44,0,1,1,10,10,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1301,DB1301,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Three C,CWMU,Any Legal Weapon,Male Only,CWMU,20,20,16,80.0,6.2,4.5,DB1301,33,66,0,32,58,1,1,2,16,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1303,DB1303,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,North Peaks,CWMU,Any Legal Weapon,Male Only,CWMU,5,5,4,80.0,3.5,3.8,DB1303,33,66,0,32,6,0,1,1,5,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1304,DB1304,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Two Bear,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,10,100.0,3.0,4.4,DB1304,33,66,0,32,26,0,1,1,13,13,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1305,DB1305,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Wallsburg,CWMU,Any Legal Weapon,Male Only,CWMU,5,5,3,60.0,5.4,3.4,DB1305,33,66,0,32,3,0,1,1,1,1,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1306,DB1306,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Washakie,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,10,100.0,2.3,4.8,DB1306,33,66,0,32,42,0,1,1,14,14,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1308,DB1308,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,West Hills,CWMU,Any Legal Weapon,Male Only,CWMU,14,14,13,92.9,3.3,4.7,DB1308,33,66,0,32,39,1,1,2,10,9,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1309,DB1309,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,West Willow Creek Ranch,CWMU,Any Legal Weapon,Male Only,CWMU,23,23,22,95.7,2.8,4.5,DB1309,33,66,0,32,80,3,2,5,16,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1310,DB1310,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,White's Valley,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,9,90.0,5.1,4.8,DB1310,33,66,0,32,40,1,1,2,16,8,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1312,DB1312,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Woodruff Creek South,CWMU,Any Legal Weapon,Male Only,CWMU,2,2,2,100.0,2.5,5.0,DB1312,33,66,0,32,15,0,1,1,2,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1317,DB1317,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Jacob's Creek,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,7,70.0,3.3,5.0,DB1317,33,66,0,32,7,0,1,1,3,3,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1320,DB1320,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Deer Creek,CWMU,Any Legal Weapon,Male Only,CWMU,6,5,2,40.0,3.3,3.5,DB1320,33,66,0,32,4,0,1,1,0,0,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1322,DB1322,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Pahvant Ensign,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,8,80.0,3.3,4.9,DB1322,33,66,0,32,11,0,1,1,7,7,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1323,DB1323,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Rock House,CWMU,Any Legal Weapon,Male Only,CWMU,4,4,4,100.0,9.0,4.8,DB1323,33,66,0,32,2,0,1,1,4,4,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1324,DB1324,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Royal Ivory Outfitters,CWMU,Any Legal Weapon,Male Only,CWMU,6,6,3,50.0,5.0,4.0,DB1324,33,66,0,32,8,0,1,1,5,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1325,DB1325,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Double Cone,CWMU,Any Legal Weapon,Male Only,CWMU,7,7,4,57.1,3.5,1.8,DB1325,33,66,0,32,8,0,1,1,2,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1326,DB1326,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Rosette,CWMU,Any Legal Weapon,Male Only,CWMU,4,4,3,75.0,2.3,3.5,DB1326,33,66,0,32,14,0,1,1,2,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1327,DB1327,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Mountain Sky Ranch,CWMU,Any Legal Weapon,Male Only,CWMU,7,7,5,71.4,5.6,4.7,DB1327,33,66,0,32,10,0,1,1,9,9,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1328,DB1328,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Clear Creek,CWMU,Any Legal Weapon,Male Only,CWMU,5,5,1,20.0,5.6,4.2,DB1328,33,66,0,32,6,0,1,1,7,7,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1330,DB1330,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Iron Spring,CWMU,Any Legal Weapon,Male Only,CWMU,1,1,1,100.0,5.0,3.0,DB1330,33,66,0,32,16,0,1,1,14,14,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1331,DB1331,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Raft River,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,9,90.0,4.8,5.0,DB1331,33,66,0,32,17,1,1,2,6,3,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1332,DB1332,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,West Ridge,CWMU,Any Legal Weapon,Male Only,CWMU,37,35,21,60.0,5.6,3.7,DB1332,33,66,0,32,17,3,2,5,7,3,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1333,DB1333,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,5S Land and Livestock,CWMU,Any Legal Weapon,Male Only,CWMU,16,16,5,31.3,4.0,3.1,DB1333,33,66,0,32,11,1,1,2,9,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1334,DB1334,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Alton,CWMU Cactus,Any Legal Weapon,Male Only,CWMU,5,5,5,100.0,3.0,5.0,DB1334,33,66,0,32,5,0,1,1,1,1,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1335,DB1335,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Big Piney Ranch,CWMU,Any Legal Weapon,Male Only,CWMU,4,4,4,100.0,3.0,5.0,DB1335,33,66,0,32,20,0,1,1,5,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1336,DB1336,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,First Light,CWMU,Any Legal Weapon,Male Only,CWMU,8,8,6,75.0,3.8,4.2,DB1336,33,66,0,32,2,0,1,1,2,2,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1337,DB1337,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Little Pole Canyon,CWMU,Any Legal Weapon,Male Only,CWMU,2,2,0,0.0,6.5,3.5,DB1337,33,66,0,32,22,0,1,1,5,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1341,DB1341,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Dry Creek,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,8,80.0,2.3,4.5,DB1341,33,66,0,32,18,0,1,1,10,10,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1342,DB1342,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Faust Valley,CWMU,Any Legal Weapon,Male Only,CWMU,4,4,4,100.0,3.0,3.3,DB1342,33,66,0,32,36,0,1,1,1,1,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1343,DB1343,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Red Iron,CWMU,Any Legal Weapon,Male Only,CWMU,8,8,7,87.5,8.0,4.4,DB1343,33,66,0,32,18,0,1,1,3,3,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1344,DB1344,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Salt Wells,CWMU,Any Legal Weapon,Male Only,CWMU,2,2,2,100.0,1.0,5.0,DB1344,33,66,0,32,4,0,1,1,0,0,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1345,DB1345,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Diamond Mountain CWMU,CWMU,Any Legal Weapon,Male Only,CWMU,10,10,10,100.0,2.6,4.7,DB1345,33,66,0,32,17,0,1,1,1,1,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1347,DB1347,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,The Rose of Snowville,CWMU,Any Legal Weapon,Male Only,CWMU,6,6,4,66.7,4.3,4.0,DB1347,33,66,0,32,6,1,1,2,5,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1348,DB1348,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Kimberly,CWMU,Any Legal Weapon,Male Only,CWMU,5,5,2,40.0,3.0,2.0,DB1348,33,66,0,32,8,0,1,1,0,0,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1349,DB1349,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Weber Florence Creek/Stillman Creek,CWMU,Any Legal Weapon,Male Only,CWMU,75,75,57,76.0,3.5,4.6,DB1349,33,66,0,32,82,5,4,9,13,7,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1501,DB1501,performance,True,False,False,performance,,,Deer,Box Elder,General Season,Archery,Male Only,Public,935,711,164,23.1,9.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1502,DB1502,performance,True,False,False,performance,,,Deer,Cache,General Season,Archery,Male Only,Public,931,755,119,15.8,8.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1503,DB1503,performance,True,False,False,performance,,,Deer,Manti/San Rafael,General Season,Archery,Male Only,Public,1325,1168,250,21.4,7.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1504,DB1504,performance,True,False,False,performance,,,Deer,Nebo,General Season,Archery,Male Only,Public,763,641,123,19.2,8.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1506,DB1506,performance,True,False,False,performance,,,Deer,Fillmore,General Season,Archery,Male Only,Public,351,316,101,32.0,7.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1508,DB1508,performance,True,False,False,performance,,,Deer,Kamas,General Season,Archery,Male Only,Public,210,176,29,16.5,7.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1509,DB1509,performance,True,False,False,performance,,,Deer,La Sal Mtns,General Season,Archery,Male Only,Public,266,232,112,48.3,6.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1510,DB1510,performance,True,False,False,performance,,,Deer,Monroe,General Season,Archery,Male Only,Public,79,50,19,38.0,8.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1511,DB1511,performance,True,False,False,performance,,,Deer,Mt Dutton,General Season,Archery,Male Only,Public,70,56,11,19.6,7.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1512,DB1512,performance,True,False,False,performance,,,Deer,Nine Mile,General Season,Archery,Male Only,Public,190,147,44,29.9,9.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1513,DB1513,performance,True,False,False,performance,,,Deer,North Slope,General Season,Archery,Male Only,Public,506,384,51,13.3,8.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1514,DB1514,performance,True,False,False,performance,,,Deer,Ogden,General Season,Archery,Male Only,Public,396,296,59,19.9,9.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1516,DB1516,performance,True,False,False,performance,,,Deer,Panguitch Lake,General Season,Archery,Male Only,Public,415,384,141,36.7,8.5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1517,DB1517,performance,True,False,False,performance,,,Deer,Pine Valley,General Season,Archery,Male Only,Public,490,434,115,26.5,8.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1518,DB1518,performance,True,False,False,performance,,,Deer,Boulder/Kaiparowits,General Season,Archery,Male Only,Public,430,378,121,32.0,7.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1519,DB1519,performance,True,False,False,performance,,,Deer,Fishlake,General Season,Archery,Male Only,Public,235,219,56,25.6,7.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1521,DB1521,performance,True,False,False,performance,,,Deer,"San Juan, Abajo Mtns",General Season,Archery,Male Only,Public,476,412,155,37.6,6.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1522,DB1522,performance,True,False,False,performance,,,Deer,Vernal/Bonanza,General Season,Archery,Male Only,Public,366,327,129,39.4,10.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1523,DB1523,performance,True,False,False,performance,,,Deer,Yellowstone,General Season,Archery,Male Only,Public,236,205,62,30.2,10.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1524,DB1524,performance,True,False,False,performance,,,Deer,Southwest Desert,General Season,Archery,Male Only,Public,77,64,11,17.2,8.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1525,DB1525,performance,True,False,False,performance,,,Deer,"Wasatch Mtns, East",General Season,Archery,Male Only,Public,912,789,160,20.3,8.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1526,DB1526,performance,True,False,False,performance,,,Deer,"Wasatch Mtns, West",General Season,Archery,Male Only,Public,1164,900,163,18.1,8.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1529,DB1529,performance,True,False,False,performance,,,Deer,Zion,General Season,Archery,Male Only,Public,458,405,157,38.8,7.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1531,DB1531,performance,True,False,False,performance,,,Deer,Box Elder,General Season,Any Legal Weapon,Male Only,Public,1982,1695,573,33.8,4.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1533,DB1533,performance,True,False,False,performance,,,Deer,Manti/San Rafael,General Season,Any Legal Weapon,Male Only,Public,4507,4060,1921,47.3,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1534,DB1534,performance,True,False,False,performance,,,Deer,Nebo,General Season,Any Legal Weapon,Male Only,Public,2798,2544,1153,45.3,4.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1536,DB1536,performance,True,False,False,performance,,,Deer,Fillmore,General Season,Any Legal Weapon,Male Only,Public,896,842,495,58.8,4.3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1538,DB1538,performance,True,False,False,performance,,,Deer,Kamas,General Season,Any Legal Weapon,Male Only,Public,461,381,97,25.5,4.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1539,DB1539,performance,True,False,False,performance,,,Deer,La Sal Mtns,General Season,Any Legal Weapon,Male Only,Public,944,827,445,53.8,3.9,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1540,DB1540,performance,True,False,False,performance,,,Deer,Monroe,General Season,Any Legal Weapon,Male Only,Public,532,487,370,76.0,3.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1541,DB1541,performance,True,False,False,performance,,,Deer,Mt Dutton,General Season,Any Legal Weapon,Male Only,Public,216,206,114,55.3,3.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
