hunt_code,residency,point_level,applicants,bonus_permits,random_permits,total_permits,success_ratio_text
DB1001,Resident,18,23,0,1,1,1 in 23.0
DB1001,Resident,17,30,0,1,1,1 in 30.0
DB1001,Resident,16,32,0,1,1,1 in 32.0
DB1001,Resident,15,32,0,0,0,N/A
DB1001,Resident,14,33,0,0,0,N/A
DB1001,Resident,13,38,0,0,0,N/A
DB1001,Resident,12,40,0,2,2,1 in 20.0
DB1001,Resident,11,28,0,0,0,N/A
DB1001,Resident,10,40,0,0,0,N/A
DB1001,Resident,9,32,0,0,0,N/A
DB1001,Resident,8,47,0,4,4,1 in 11.8
DB1001,Resident,7,44,0,1,1,1 in 44.0
DB1001,Resident,6,31,0,0,0,N/A
DB1001,Resident,5,36,0,0,0,N/A
DB1001,Resident,4,47,0,0,0,N/A
DB1001,Resident,3,46,0,1,1,1 in 46.0
DB1001,Resident,2,46,0,0,0,N/A
DB1001,Resident,1,37,0,0,0,N/A
DB1001,Resident,0,52,0,0,0,N/A
DB1002,Nonresident,32,0,0,0,0,N/A
DB1002,Nonresident,31,0,0,0,0,N/A
DB1002,Nonresident,30,0,0,0,0,N/A
DB1002,Nonresident,29,0,0,0,0,N/A
DB1002,Nonresident,28,0,0,0,0,N/A
DB1002,Nonresident,27,0,0,0,0,N/A
DB1002,Nonresident,26,0,0,0,0,N/A
DB1002,Nonresident,25,0,0,0,0,N/A
DB1002,Nonresident,24,0,0,0,0,N/A
DB1002,Nonresident,23,0,0,0,0,N/A
DB1002,Nonresident,22,0,0,0,0,N/A
DB1002,Nonresident,21,0,0,0,0,N/A
DB1002,Nonresident,20,0,0,0,0,N/A
DB1002,Nonresident,19,0,0,0,0,N/A
DB1002,Nonresident,18,0,0,0,0,N/A
DB1002,Nonresident,17,0,0,0,0,N/A
DB1002,Nonresident,16,0,0,0,0,N/A
DB1002,Nonresident,15,0,0,0,0,N/A
DB1002,Nonresident,14,0,0,0,0,N/A
DB1002,Nonresident,13,0,0,0,0,N/A
DB1002,Nonresident,12,0,0,0,0,N/A
DB1002,Nonresident,11,0,0,0,0,N/A
DB1002,Nonresident,10,0,0,0,0,N/A
DB1002,Nonresident,9,0,0,0,0,N/A
DB1002,Nonresident,8,0,0,0,0,N/A
DB1002,Nonresident,7,0,0,0,0,N/A
DB1002,Nonresident,6,0,0,0,0,N/A
DB1002,Nonresident,5,0,0,0,0,N/A
DB1002,Nonresident,4,0,0,0,0,N/A
DB1002,Nonresident,3,0,0,0,0,N/A
DB1002,Nonresident,2,0,0,0,0,N/A
DB1002,Nonresident,1,0,0,0,0,N/A
DB1002,Nonresident,0,0,0,0,0,N/A
DB1002,Resident,32,0,0,0,0,N/A
DB1002,Resident,31,0,0,0,0,N/A
DB1002,Resident,30,0,0,0,0,N/A
DB1002,Resident,29,2,0,0,0,N/A
DB1002,Resident,28,4,0,0,0,N/A
DB1002,Resident,27,6,0,0,0,N/A
DB1002,Resident,26,7,0,0,0,N/A
DB1002,Resident,25,13,0,0,0,N/A
DB1002,Resident,24,23,0,0,0,N/A
DB1002,Resident,23,22,0,0,0,N/A
DB1002,Resident,22,39,0,0,0,N/A
DB1002,Resident,21,32,0,0,0,N/A
DB1002,Resident,20,43,0,0,0,N/A
DB1002,Resident,19,52,0,0,0,N/A
DB1002,Resident,18,39,0,0,0,N/A
DB1002,Resident,17,62,0,0,0,N/A
DB1002,Resident,16,65,0,0,0,N/A
DB1002,Resident,15,70,0,0,0,N/A
DB1002,Resident,14,70,0,0,0,N/A
DB1002,Resident,13,80,0,0,0,N/A
DB1002,Resident,12,83,0,0,0,N/A
DB1002,Resident,11,79,0,1,1,1 in 79.0
DB1002,Resident,10,79,0,0,0,N/A
DB1002,Resident,9,72,0,0,0,N/A
DB1002,Resident,8,76,0,0,0,N/A
DB1002,Resident,7,77,0,0,0,N/A
DB1002,Resident,6,73,0,0,0,N/A
DB1002,Resident,5,88,0,0,0,N/A
DB1002,Resident,4,102,0,0,0,N/A
DB1002,Resident,3,90,0,0,0,N/A
DB1002,Resident,2,91,0,0,0,N/A
DB1002,Resident,1,121,0,0,0,N/A
DB1002,Resident,0,141,0,0,0,N/A
DB1003,Nonresident,32,0,0,0,0,N/A
DB1003,Nonresident,31,0,0,0,0,N/A
DB1003,Nonresident,30,0,0,0,0,N/A
DB1003,Nonresident,29,0,0,0,0,N/A
DB1003,Nonresident,28,10,2,0,2,1 in 5.0
DB1003,Nonresident,27,9,0,0,0,N/A
DB1003,Nonresident,26,1,8,0,0,N/A
DB1003,Nonresident,25,2,0,0,0,N/A
DB1003,Nonresident,24,31,0,0,0,N/A
DB1003,Nonresident,23,25,0,0,0,N/A
DB1003,Nonresident,22,40,0,0,0,N/A
DB1003,Nonresident,21,32,0,0,0,N/A
DB1003,Nonresident,20,50,0,0,0,N/A
DB1003,Nonresident,19,37,0,0,0,N/A
DB1003,Nonresident,18,50,0,0,0,N/A
DB1003,Nonresident,17,65,0,0,0,N/A
DB1003,Nonresident,16,357,0,0,0,N/A
DB1003,Nonresident,15,152,0,0,0,N/A
DB1003,Nonresident,14,145,0,0,0,N/A
